
"Pickup location saved.","Local de coleta salvo."
"Pickup location deleted.","Local de coleta excluído."
"This waypoint no longer exists.","Este local de coleta não existe mais."
"Could not save: %1","Não foi possível salvar: %1"
"Could not delete: %1","Não foi possível excluir: %1"

"Status","Status"
"99Entrega Order ID","ID do Pedido 99Entrega"
"Vehicle","Veículo"
"Fee","Tarifa"
"Tracking","Rastreamento"
"Pickup Code","Código de Coleta"
"Dropoff Code","Código de Entrega"
"Driver","Motoboy"
"No 99Entrega delivery record for this order yet.","Nenhum registro de entrega 99Entrega para este pedido ainda."
"Create 99Entrega Delivery","Criar Entrega 99Entrega"
"Cancel 99Entrega Delivery","Cancelar Entrega 99Entrega"
"Cancel the 99Entrega delivery?","Cancelar a entrega 99Entrega?"
"99Entrega delivery created: %1","Entrega 99Entrega criada: %1"
"99Entrega delivery canceled.","Entrega 99Entrega cancelada."
"Failed to create 99Entrega delivery: %1","Falha ao criar entrega 99Entrega: %1"
"Failed to cancel 99Entrega delivery: %1","Falha ao cancelar entrega 99Entrega: %1"

"Missing order_id.","Parâmetro order_id ausente."
"This shipping method is not available. Please contact us.","Frete 99Entrega indisponível. Entre em contato com a loja."
"Entrega via 99 (motoboy/carro)","Entrega via 99 (motoboy/carro)"

"Postcode is required for 99Entrega quote.","CEP é obrigatório para cotar com 99Entrega."
"No active 99Entrega pickup location configured for this store.","Nenhum local de coleta 99Entrega ativo configurado para esta loja."
"Pickup location is missing latitude/longitude.","O local de coleta está sem latitude/longitude."
"Could not geocode the delivery address.","Não foi possível obter coordenadas do endereço de entrega."

"99Entrega delivery cannot be created from status: %1.","Entrega 99Entrega não pode ser criada a partir do status: %1."
"Order %1 does not use the 99Entrega shipping method.","O pedido %1 não usa o método de entrega 99Entrega."
"99Entrega /order/create response did not include order_id.","A resposta de /order/create da 99Entrega não retornou order_id."
"99Entrega /v2/order/estimate did not return an id.","A resposta de /v2/order/estimate da 99Entrega não retornou id."
"99Entrega did not return a valid estimate.","99Entrega não retornou uma cotação válida."
"Duplicate external_order_id but /order/detail did not return order_id.","external_order_id duplicado mas /order/detail não retornou order_id."
"99Entrega delivery created: <b>%1</b>","Entrega 99Entrega criada: <b>%1</b>"
"99Entrega delivery reconciled (already existed at 99): <b>%1</b>","Entrega 99Entrega reconciliada (já existia na 99): <b>%1</b>"
"Tracking: <a href=""%1"" target=""_blank"">%1</a>","Rastreamento: <a href=""%1"" target=""_blank"">%1</a>"

"99Entrega delivery cannot be canceled (status: %1).","Entrega 99Entrega não pode ser cancelada (status: %1)."
"99Entrega delivery canceled (reason: %1).","Entrega 99Entrega cancelada (motivo: %1)."

"99Entrega: <b>%1</b> (status: %2)","99Entrega: <b>%1</b> (status: %2)"
"99Entrega webhook signing key is not configured.","A chave de assinatura do webhook 99Entrega não está configurada."
"Missing %1 header.","Header %1 ausente."
"Invalid webhook signature.","Assinatura de webhook inválida."

"99Entrega API credentials are not configured.","As credenciais da API 99Entrega não estão configuradas."
"99Entrega API URL is not configured.","A URL da API 99Entrega não está configurada."
"99Entrega OAuth request failed: %1","Falha na requisição OAuth da 99Entrega: %1"
"99Entrega OAuth failed (errno=%1): %2","Falha no OAuth da 99Entrega (errno=%1): %2"
"99Entrega request failed (%1 %2): %3","Falha na requisição 99Entrega (%1 %2): %3"
"99Entrega non-JSON response (HTTP %1) on %2 %3","Resposta não-JSON da 99Entrega (HTTP %1) em %2 %3"
"99Entrega API error on %1 %2 (HTTP %3, errno %4): %5","Erro da API 99Entrega em %1 %2 (HTTP %3, errno %4): %5"

"Frete 99Entrega temporariamente indisponível. Tente novamente em instantes.","Frete 99Entrega temporariamente indisponível. Tente novamente em instantes."
"Endereço fora da área de cobertura 99Entrega.","Endereço fora da área de cobertura 99Entrega."
"Tipo de veículo 99Entrega não disponível para esta entrega.","Tipo de veículo 99Entrega não disponível para esta entrega."
"99Entrega indisponível no momento. Tente novamente em instantes.","99Entrega indisponível no momento. Tente novamente em instantes."
"Frete 99Entrega temporariamente indisponível.","Frete 99Entrega temporariamente indisponível."
"Cotação expirou. Atualize a página para uma nova cotação.","Cotação expirou. Atualize a página para uma nova cotação."
"Não foi possível cotar 99Entrega com os dados informados.","Não foi possível cotar 99Entrega com os dados informados."

"Token with id %1 was not found.","Token com id %1 não encontrado."
"Webhook event with id %1 was not found.","Evento de webhook com id %1 não encontrado."
"Order shipment with id %1 was not found.","Registro de entrega com id %1 não encontrado."
"Order shipment for order_id %1 was not found.","Registro de entrega para order_id %1 não encontrado."
"Waypoint with id %1 was not found.","Local de coleta com id %1 não encontrado."
"No active 99Entrega waypoint configured.","Nenhum local de coleta 99Entrega ativo configurado."
"Could not save token: %1","Não foi possível salvar token: %1"
"Could not delete token: %1","Não foi possível excluir token: %1"
"Could not save webhook event: %1","Não foi possível salvar evento de webhook: %1"
"Could not save order shipment: %1","Não foi possível salvar registro de entrega: %1"
"Could not delete order shipment: %1","Não foi possível excluir registro de entrega: %1"
"Could not save waypoint: %1","Não foi possível salvar local de coleta: %1"
"Could not delete waypoint: %1","Não foi possível excluir local de coleta: %1"

"Create 99Entrega Shipment","Criar Entrega 99Entrega"
"Cancel 99Entrega Shipment","Cancelar Entrega 99Entrega"
"99Entrega Configuration","Configuração 99Entrega"
